subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
QC3336,UT,UTexas,early,10.11150121,387.8482962,43.85138023,8.15E-04,0.002218917,6.77E-04,20.78236597,10.01799574,14.51628598,12.51447307,17.66177176
QS3334,UT,UTexas,early,7.826625933,419.650925,0,8.78E-04,0.002448522,NA,17.74700571,9.560470772,NA,8.731350277,11.5763272
QS3334,UT,UTexas,late,8.535376017,404.5882982,0,9.18E-04,0.002570814,NA,21.26521539,9.716841087,NA,9.780600843,13.84559759
VH2321,UT,UTexas,early,5.845500697,366.4406687,66.39975792,8.80E-04,0.002349652,6.28E-04,18.23667587,9.815733019,10.17390644,10.43243761,13.79705991
VH2322,UT,UTexas,early,7.71862592,420.4744251,0,8.82E-04,0.002477069,NA,18.12854176,9.890917776,NA,9.029612864,12.24133761
VH2322,UT,UTexas,late,8.758126044,413.2147993,0,8.32E-04,0.002316107,NA,21.10046923,9.751709263,NA,10.96577771,14.79712004
VH2330,UT,UTexas,early,7.273125867,371.4120443,54.59400651,8.86E-04,0.00229772,6.33E-04,21.23446112,10.01751371,12.22342808,10.74929211,14.67511247
AM3680,YL,Yale,early,4.957875591,356.8522925,36.8752544,7.33E-04,0.001901361,5.74E-04,27.22257362,13.9803082,15.78623934,7.144678675,11.65082967
AM3680,YL,Yale,late,7.911000943,369.282419,0,7.60E-04,0.002196435,NA,28.68780626,12.60688237,NA,6.821890694,10.70733216
AM3685,YL,Yale,early,15.9468769,357.3619176,0,7.17E-04,0.002148984,NA,28.90411408,11.90457846,NA,8.290215245,12.90595442
AM3686,YL,Yale,early,2.504250299,331.5937895,8.883001059,7.55E-04,0.001898773,6.88E-04,24.36131257,9.946817243,18.27429759,4.72071506,8.142600884
AM3687,YL,Yale,early,5.008500597,284.2830339,41.59687996,7.87E-04,0.002038021,5.36E-04,27.5992275,12.89801029,14.21283923,6.077229438,10.32747949
AM3688,YL,Yale,early,5.886000702,378.0607951,20.50987744,7.38E-04,0.002016223,5.76E-04,28.38695152,13.96527616,17.27385987,6.991469348,11.15490368
AM3694,YL,Yale,late,7.144875852,328.1951641,0,7.79E-04,0.00209241,NA,29.20346367,13.58180694,NA,6.288164463,9.467539508
FR8085,YL,Yale,early,12.28162646,298.7752856,49.20413087,7.39E-04,0.002172049,5.22E-04,29.12441627,12.61816154,14.9439928,6.948435312,10.87142004
